,precision,recall,f1-score,support
028.Brown_Creeper,1.0,1.0,1.0,29.0
029.American_Crow,0.48,0.4,0.43636363636363634,30.0
030.Fish_Crow,0.43243243243243246,0.5333333333333333,0.47761194029850745,30.0
031.Black_billed_Cuckoo,0.8888888888888888,0.8,0.8421052631578947,30.0
032.Mangrove_Cuckoo,0.8571428571428571,0.782608695652174,0.8181818181818182,23.0
033.Yellow_billed_Cuckoo,0.8148148148148148,0.7586206896551724,0.7857142857142857,29.0
034.Gray_crowned_Rosy_Finch,1.0,1.0,1.0,29.0
035.Purple_Finch,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
036.Northern_Flicker,1.0,0.9666666666666667,0.9830508474576272,30.0
037.Acadian_Flycatcher,0.5384615384615384,0.4827586206896552,0.509090909090909,29.0
038.Great_Crested_Flycatcher,1.0,0.7666666666666667,0.8679245283018868,30.0
039.Least_Flycatcher,0.52,0.4482758620689655,0.48148148148148145,29.0
040.Olive_sided_Flycatcher,0.8148148148148148,0.7333333333333333,0.7719298245614035,30.0
041.Scissor_tailed_Flycatcher,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
042.Vermilion_Flycatcher,0.9375,1.0,0.967741935483871,30.0
043.Yellow_bellied_Flycatcher,0.6176470588235294,0.7241379310344828,0.6666666666666666,29.0
044.Frigatebird,0.9310344827586207,0.9,0.9152542372881356,30.0
045.Northern_Fulmar,0.9230769230769231,0.8,0.8571428571428571,30.0
046.Gadwall,0.9090909090909091,1.0,0.9523809523809523,30.0
047.American_Goldfinch,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
048.European_Goldfinch,1.0,1.0,1.0,30.0
049.Boat_tailed_Grackle,0.75,0.6,0.6666666666666666,30.0
050.Eared_Grebe,0.92,0.7666666666666667,0.8363636363636363,30.0
051.Horned_Grebe,0.7941176470588235,0.9,0.84375,30.0
052.Pied_billed_Grebe,1.0,0.9666666666666667,0.9830508474576272,30.0
053.Western_Grebe,0.967741935483871,1.0,0.9836065573770492,30.0
054.Blue_Grosbeak,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
055.Evening_Grosbeak,1.0,1.0,1.0,30.0
056.Pine_Grosbeak,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
057.Rose_breasted_Grosbeak,1.0,0.9666666666666667,0.9830508474576272,30.0
